-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.248,  0.280
-183.791, 80.174, 0.344,  0.313
-183.784, 80.160, 0.429,  0.346
-183.773, 80.141, 0.595,  0.379
-183.758, 80.118, 0.705,  0.412
-183.739, 80.092, 0.831,  0.445
-183.717, 80.062, 0.961,  0.478
-183.691, 80.028, 1.094,  0.511
-183.662, 79.989, 1.266,  0.544
-183.630, 79.945, 1.455,  0.577
-183.595, 79.896, 1.630,  0.610
-183.559, 79.844, 1.745,  0.643
-183.525, 79.790, 1.774,  0.676
-183.492, 79.739, 1.706,  0.709
-183.461, 79.694, 1.529,  0.742
-183.432, 79.653, 1.444,  0.775
-183.401, 79.612, 1.467,  0.808
-183.370, 79.570, 1.489,  0.841
-183.338, 79.527, 1.508,  0.874
-183.307, 79.484, 1.521,  0.907
-183.274, 79.441, 1.528,  0.940
-183.242, 79.398, 1.531,  0.973
-183.210, 79.356, 1.529,  1.006
-183.178, 79.313, 1.524,  1.039
-183.145, 79.272, 1.518,  1.072
-183.113, 79.230, 1.512,  1.105
-183.081, 79.189, 1.506,  1.138
-183.049, 79.148, 1.503,  1.171
-183.017, 79.107, 1.502,  1.204
-182.985, 79.066, 1.504,  1.237
-182.952, 79.026, 1.509,  1.270
-182.920, 78.985, 1.517,  1.303
-182.887, 78.944, 1.525,  1.336
-182.854, 78.903, 1.535,  1.369
-182.821, 78.862, 1.544,  1.402
-182.788, 78.821, 1.553,  1.435
-182.755, 78.779, 1.560,  1.468
-182.722, 78.737, 1.566,  1.501
-182.689, 78.696, 1.569,  1.534
-182.656, 78.654, 1.572,  1.567
-182.623, 78.612, 1.573,  1.600
-182.590, 78.570, 1.574,  1.633
-182.558, 78.528, 1.575,  1.666
-182.525, 78.487, 1.576,  1.699
-182.493, 78.445, 1.577,  1.732
